Geo Point;Geo Shape;visible;user;id;timestamp;amenity;.oms;other_tags
43.4540977652,5.31736291597;"{""type"": ""LineString"", ""coordinates"": [[5.3173601, 43.4540521], [5.3173988, 43.4540602], [5.3173658, 43.4541434], [5.317327, 43.4541353], [5.3173601, 43.4540521]]}";;overflorian;666854487;2019-01-29T09:32:35+01:00;car_rental;;"{""wheelchair"": ""yes"", ""indoor"": ""area"", ""name"": ""Avis"", ""level"": ""0""}"
43.5228751857,5.44530921274;"{""type"": ""LineString"", ""coordinates"": [[5.4455116, 43.5226529], [5.4456249, 43.5227401], [5.4454708, 43.5228438], [5.4454801, 43.5228499], [5.4452568, 43.5230003], [5.4452475, 43.522993], [5.4450995, 43.5230937], [5.4450422, 43.5230494], [5.4449989, 43.5230159], [5.4449891, 43.5230082], [5.4455116, 43.5226529]]}";;Pihair;87800827;2019-10-27T10:28:03+01:00;public_building;;"{""building"": ""train_station"", ""shop"": ""ticket"", ""name"": ""Gare SNCF"", ""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre. Mise \u00e0 jour : 2010""}"
43.5537944247,7.0216468349;"{""type"": ""LineString"", ""coordinates"": [[7.021206, 43.5536757], [7.021343, 43.5536711], [7.0220051, 43.5536464], [7.0220637, 43.5536442], [7.0220694, 43.5536909], [7.022086, 43.553912], [7.0219086, 43.5539193], [7.0214231, 43.5539387], [7.0212743, 43.5539447], [7.021235, 43.5539483], [7.0212329, 43.5539064], [7.021206, 43.5536757]]}";;Anonix35;64947514;2018-12-01T20:52:58+01:00;parking;;"{""access"": ""customers"", ""building"": ""yes"", ""fee"": ""yes"", ""supervised"": ""yes"", ""name"": ""Gare SNCF"", ""parking"": ""multi-storey"", ""surface"": ""asphalt"", ""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre. Mise \u00e0 jour : 2010""}"
43.6586683324,7.14913299944;"{""type"": ""LineString"", ""coordinates"": [[7.1486079, 43.6583581], [7.1486262, 43.658374], [7.1493308, 43.6589874], [7.1496648, 43.6589894], [7.1488665, 43.658305], [7.1486079, 43.6583581]]}";;fmorel;42561364;2013-08-03T19:37:43+02:00;parking;;"{""name"": ""Parking de la Gare""}"
43.1994251,5.6327137;"{""type"": ""Point"", ""coordinates"": [5.6327137, 43.1994251]}";;Lazib;2364712864;2016-02-05T14:41:32+01:00;bench;;"{""shelter"": ""no"", ""source"": ""Universit\u00e9 Aix-Marseille"", ""level"": ""0"", ""backrest"": ""no""}"
43.199546,5.6323749;"{""type"": ""Point"", ""coordinates"": [5.6323749, 43.199546]}";;cquest;2364712879;2013-06-28T20:25:44+02:00;taxi;;
43.1995985,5.6323483;"{""type"": ""Point"", ""coordinates"": [5.6323483, 43.1995985]}";;cquest;2364712884;2013-06-28T20:25:44+02:00;cafe;;
43.9220791,4.7864209;"{""type"": ""Point"", ""coordinates"": [4.7864209, 43.9220791]}";;JLZIMMERMANN;2500655721;2015-07-01T10:55:04+02:00;bench;;"{""source"": ""survey 2013"", ""level"": ""0""}"
43.9420993,4.8055548;"{""type"": ""Point"", ""coordinates"": [4.8055548, 43.9420993]}";;JLZIMMERMANN;2520818327;2019-11-21T11:50:11+01:00;vending_machine;;"{""covered"": ""yes"", ""survey:date"": ""2019-03-29"", ""vending"": ""parking_tickets"", ""source"": ""survey""}"
43.9421936,4.80485;"{""type"": ""Point"", ""coordinates"": [4.80485, 43.9421936]}";;JLZIMMERMANN;2520850545;2018-05-28T09:18:10+02:00;bicycle_parking;;"{""mapillary"": ""UzwB9v3g_o5rPwTizH9MpA"", ""survey:date"": ""2018-04-05"", ""capacity"": ""8"", ""bicycle_parking"": ""bollard""}"
44.1373593,4.8193409;"{""type"": ""Point"", ""coordinates"": [4.8193409, 44.1373593]}";;cabinetcourbi;2397216221;2018-06-19T08:06:10+02:00;bench;;"{""survey:date"": ""2018-05-23"", ""backrest"": ""yes"", ""level"": ""0"", ""colour"": ""brown"", ""material"": ""wood"", ""indoor"": ""yes"", ""source"": ""survey"", ""seats"": ""3"", ""operator"": ""SNCF"", ""armrest"": ""yes""}"
44.1372482,4.8194084;"{""type"": ""Point"", ""coordinates"": [4.8194084, 44.1372482]}";;tony emery;2409917724;2019-03-08T17:25:14+01:00;vending_machine;;"{""operator"": ""SNCF"", ""source"": ""survey 2013"", ""transport"": ""ticket_office""}"
