Année,Entité administrative,Id Entité,Activité,Energie,Variable,Valeur,Unite
2017,CHÂTEAUROUX-LES-ALPES (05),5036,Tous secteurs,Toutes énergies,co2,11311485,kg
2017,CHÂTEAUVERT (83),83039,Tous secteurs,Toutes énergies,co2,1565952.3,kg
2017,CHÂTEAUVIEUX (05),5037,Tous secteurs,Toutes énergies,co2,2128196.3,kg
2017,CHÂTEAUVIEUX (83),83040,Tous secteurs,Toutes énergies,co2,10802640.1,kg
2017,CHÂTEAU-VILLE-VIEILLE (05),5038,Tous secteurs,Toutes énergies,co2,5608718.3,kg
2017,CHAUDON-NORANTE (04),4055,Tous secteurs,Toutes énergies,co2,4245686.2,kg
2017,CHAUFFAYER (05),5039,Tous secteurs,Toutes énergies,co2,4223651.5,kg
2017,CHEVAL-BLANC (84),84038,Tous secteurs,Toutes énergies,co2,12149850.2,kg
2017,CHORGES (05),5040,Tous secteurs,Toutes énergies,co2,16962738.3,kg
2017,CIPIÈRES (06),6041,Tous secteurs,Toutes énergies,co2,1610572,kg
2017,CLAMENSANE (04),4057,Tous secteurs,Toutes énergies,co2,1285267.2,kg
2017,CLANS (06),6042,Tous secteurs,Toutes énergies,co2,3640721,kg
2017,CLARET (04),4058,Tous secteurs,Toutes énergies,co2,1092979,kg
2017,CLAVIERS (83),83041,Tous secteurs,Toutes énergies,co2,1573918.3,kg
2017,CLUMANC (04),4059,Tous secteurs,Toutes énergies,co2,585428.8,kg
2017,COARAZE (06),6043,Tous secteurs,Toutes énergies,co2,1505969.3,kg
2017,COGOLIN (83),83042,Tous secteurs,Toutes énergies,co2,28770712.2,kg
2017,COLLOBRIÈRES (83),83043,Tous secteurs,Toutes énergies,co2,13475464.3,kg
2017,COLLONGUES (06),6045,Tous secteurs,Toutes énergies,co2,505668.5,kg
2017,COLMARS (04),4061,Tous secteurs,Toutes énergies,co2,5932627.4,kg
2017,COLOMARS (06),6046,Tous secteurs,Toutes énergies,co2,13035456.4,kg
2017,COMPS-SUR-ARTUBY (83),83044,Tous secteurs,Toutes énergies,co2,2509711.2,kg
2017,CONSÉGUDES (06),6047,Tous secteurs,Toutes énergies,co2,196448.2,kg
2017,CONTES (06),6048,Tous secteurs,Toutes énergies,co2,308507819.5,kg
2017,CORBIÈRES (04),4063,Tous secteurs,Toutes énergies,co2,8205213.8,kg
2017,CORNILLON-CONFOUX (13),13029,Tous secteurs,Toutes énergies,co2,3166443.8,kg
2017,CORRENS (83),83045,Tous secteurs,Toutes énergies,co2,3375040.5,kg
2017,COTIGNAC (83),83046,Tous secteurs,Toutes énergies,co2,8381126.1,kg
2017,COUDOUX (13),13118,Tous secteurs,Toutes énergies,co2,53545171.4,kg
2017,COURMES (06),6049,Tous secteurs,Toutes énergies,co2,1775341.7,kg
2017,COURSEGOULES (06),6050,Tous secteurs,Toutes énergies,co2,3193755.6,kg
2017,COURTHÉZON (84),84039,Tous secteurs,Toutes énergies,co2,70524702.2,kg
2017,CRESTET (84),84040,Tous secteurs,Toutes énergies,co2,2201396.8,kg
2017,CRÉVOUX (05),5044,Tous secteurs,Toutes énergies,co2,1661247.8,kg
2017,CRILLON-LE-BRAVE (84),84041,Tous secteurs,Toutes énergies,co2,1908948.9,kg
2017,CROTS (05),5045,Tous secteurs,Toutes énergies,co2,8923951.7,kg
2017,CRUIS (04),4065,Tous secteurs,Toutes énergies,co2,2882241.8,kg
2017,CUCURON (84),84042,Tous secteurs,Toutes énergies,co2,4999558.2,kg
2017,CUÉBRIS (06),6052,Tous secteurs,Toutes énergies,co2,486332.9,kg
2017,CUERS (83),83049,Tous secteurs,Toutes énergies,co2,72435507.4,kg
2017,CUGES-LES-PINS (13),13030,Tous secteurs,Toutes énergies,co2,14602598.8,kg
2017,CURBANS (04),4066,Tous secteurs,Toutes énergies,co2,1281530.5,kg
2017,CUREL (04),4067,Tous secteurs,Toutes énergies,co2,368164.5,kg
2017,DALUIS (06),6053,Tous secteurs,Toutes énergies,co2,1153061,kg
2017,DAUPHIN (04),4068,Tous secteurs,Toutes énergies,co2,3468917.7,kg
2017,DEMANDOLX (04),4069,Tous secteurs,Toutes énergies,co2,739561.3,kg
2017,DIGNE-LES-BAINS (04),4070,Tous secteurs,Toutes énergies,co2,60548626.9,kg
2017,DRAGUIGNAN (83),83050,Tous secteurs,Toutes énergies,co2,84634350.4,kg
2017,DRAIX (04),4072,Tous secteurs,Toutes énergies,co2,205315.6,kg
2017,DRAP (06),6054,Tous secteurs,Toutes énergies,co2,12252861.5,kg
2017,DURANUS (06),6055,Tous secteurs,Toutes énergies,co2,798216,kg
2017,ÉGUILLES (13),13032,Tous secteurs,Toutes énergies,co2,29101961.9,kg
2017,EMBRUN (05),5046,Tous secteurs,Toutes énergies,co2,26898400.3,kg
2017,ENCHASTRAYES (04),4073,Tous secteurs,Toutes énergies,co2,3520424.3,kg
2017,ENSUÈS-LA-REDONNE (13),13033,Tous secteurs,Toutes énergies,co2,224629413.5,kg
2017,ENTRAGES (04),4074,Tous secteurs,Toutes énergies,co2,2661166.2,kg
2017,ENTRAIGUES-SUR-LA-SORGUE (84),84043,Tous secteurs,Toutes énergies,co2,60913133.3,kg
2017,ENTRAUNES (06),6056,Tous secteurs,Toutes énergies,co2,931218.1,kg
2017,ENTRECASTEAUX (83),83051,Tous secteurs,Toutes énergies,co2,4280261,kg
2017,ENTRECHAUX (84),84044,Tous secteurs,Toutes énergies,co2,3189920,kg
2017,ENTREPIERRES (04),4075,Tous secteurs,Toutes énergies,co2,3640827.4,kg
2017,ENTREVAUX (04),4076,Tous secteurs,Toutes énergies,co2,4042325.6,kg
2017,ENTREVENNES (04),4077,Tous secteurs,Toutes énergies,co2,806236.1,kg
2017,ÉOURRES (05),5047,Tous secteurs,Toutes énergies,co2,485214.9,kg
2017,ESCRAGNOLLES (06),6058,Tous secteurs,Toutes énergies,co2,2030506.3,kg
2017,ESPARRON (05),5049,Tous secteurs,Toutes énergies,co2,1053315.8,kg
2017,ESPARRON (83),83052,Tous secteurs,Toutes énergies,co2,1102027.9,kg
2017,ESPARRON-DE-VERDON (04),4081,Tous secteurs,Toutes énergies,co2,2075788.4,kg
2017,ESPINASSES (05),5050,Tous secteurs,Toutes énergies,co2,1761217.9,kg
2017,ESTOUBLON (04),4084,Tous secteurs,Toutes énergies,co2,1569037.6,kg
2017,ÉTOILE-SAINT-CYRICE (05),5051,Tous secteurs,Toutes énergies,co2,412345.8,kg
2017,ÉVENOS (83),83053,Tous secteurs,Toutes énergies,co2,31636382,kg
2017,EYGALIÈRES (13),13034,Tous secteurs,Toutes énergies,co2,8857138,kg
2017,EYGLIERS (05),5052,Tous secteurs,Toutes énergies,co2,4576930.7,kg
2017,EYGUIANS (05),5053,Tous secteurs,Toutes énergies,co2,6116238.8,kg
2017,EYGUIÈRES (13),13035,Tous secteurs,Toutes énergies,co2,22059001.1,kg
2017,EYRAGUES (13),13036,Tous secteurs,Toutes énergies,co2,12167707.2,kg
2017,ÈZE (06),6059,Tous secteurs,Toutes énergies,co2,17794952.1,kg
2017,FALICON (06),6060,Tous secteurs,Toutes énergies,co2,3881621.3,kg
2017,FAUCON (84),84045,Tous secteurs,Toutes énergies,co2,1614503.2,kg
2017,FAUCON-DE-BARCELONNETTE (04),4086,Tous secteurs,Toutes énergies,co2,2554071.2,kg
2017,FAUCON-DU-CAIRE (04),4085,Tous secteurs,Toutes énergies,co2,332737.1,kg
2017,FAYENCE (83),83055,Tous secteurs,Toutes énergies,co2,12836548.8,kg
2017,FIGANIÈRES (83),83056,Tous secteurs,Toutes énergies,co2,8074077.3,kg
2017,FLASSAN (84),84046,Tous secteurs,Toutes énergies,co2,1781115.1,kg
2017,FLASSANS-SUR-ISSOLE (83),83057,Tous secteurs,Toutes énergies,co2,32099674.3,kg
2017,FLAYOSC (83),83058,Tous secteurs,Toutes énergies,co2,13853927.7,kg
2017,FONTAINE-DE-VAUCLUSE (84),84139,Tous secteurs,Toutes énergies,co2,2126557.6,kg
2017,FONTAN (06),6062,Tous secteurs,Toutes énergies,co2,2687624.2,kg
